tess_id,signal_id,date_added,date_modified,source,ra,dec,pmra,pmdec,Tmag,bjd0,bjd0_uncert,period,period_uncert,morph_coeff,prim_width_pf,prim_depth_pf,prim_pos_pf,sec_width_pf,sec_depth_pf,sec_pos_pf,prim_width_2g,prim_depth_2g,prim_pos_2g,sec_width_2g,sec_depth_2g,sec_pos_2g,sectors
185259483,1,2020-07-27 20:19:32.475646,2021-09-16 17:36:17.538222,Light Curve File (LCF),175.108298759065,-6.10253019588716,5.76498,-10.3473,10.9183,1544.1646325467700,2.11174437936279E-05,0.3105640362990630,1.40829220174332E-07,0.8365841,0.1266051897031620,0.0980818125757967,0.6823710999016530,,,,0.32014407864549600,0.2186131091079760,0.0042187097991366,,,,"9,36"
307990280,1,2020-07-27 20:19:32.859401,2021-09-16 17:36:17.578490,Light Curve File (LCF),129.235983434707,-67.7447505239912,-22.88,-12.3145,9.4314,1546.1180243372600,0.0325356437326718,2.3159117476611900,3.04078705903876E-05,0.9324118,0.30486399182087,0.0359929212523828,1.0020577427398200,0.2668342220322500,0.0230582492821331,0.5146081101089600,,,,,,,"9,10,11"
387178621,1,2020-07-27 20:19:32.958864,2021-09-16 17:36:17.621185,Light Curve File (LCF),140.414051978082,-55.9076768445038,-4.22192,4.22438,11.1447,1548.193069464410,0.0059882506102439,8.1871258480283,4.66470299596011E-05,0.54504347,0.0707378713192844,0.2712702629846430,1.0008319726772500,,,,0.1409266270460900,0.4410521266409680,9.46150675929954E-05,0.1765792700096010,0.0711651042563777,0.5063646731046090,"9,10"
300560295,1,2020-07-27 20:19:33.639446,2021-09-16 17:36:17.671033,Light Curve File (LCF),112.915987367622,-68.133213468338,-20.4137,9.18717,10.7757,1603.56727580009,0.0013868021960661,20.58877598478320,6.24271032840795E-05,0.04374656,0.0040856688953579,0.026850794735775000,1.0003532644071100,0.0043931449676513,0.0260340888905932,0.5003784525151670,0.0062088467734008,0.0296722953887602,0.0004255817162528,0.0060374830701919,0.0292035016920747,0.5004344826242410,"1,2,3,4,5,6,7,8,9,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39"
318185328,1,2020-07-27 20:19:33.751141,2021-09-16 17:36:17.721127,Light Curve File (LCF),162.14179833884,-3.62449531571083,51.8,-44.01,10.41,1544.6430952574700,0.0031201523484014,0.3683054714640710,1.6045199297543E-06,0.7451337000000000,0.0984287386071183,0.0940221355367256,1.011885351414470,,,,0.3624176327087910,0.3003104756132340,0.0031061725564318,0.3030525852962840,0.2433787515921840,0.5030664010018450,"9,35"
363326796,1,2020-07-27 20:19:33.867800,2021-09-16 17:36:17.770838,Light Curve File (LCF),146.098196799469,-48.8373107729115,-43.2206,17.8296,9.8353,1553.8434748516000,0.0001548102111428,11.395620562486500,0.0002371015706632,0.16025913,0.0177616525783128,0.0668389090962477,0.9999839484061730,,,,0.0289069308980591,0.0870549466901449,0.9999675328261870,0.0378377644800999,0.0060079097127142,0.5000154201664020,9
73764693,1,2020-07-27 20:19:34.167556,2021-09-16 17:36:17.812587,Light Curve File (LCF),155.841228498847,-37.6166400554691,-33.2594,-20.1256,11.777,1544.3885415918200,0.0023394025436118,0.1392960311591190,2.63556745311866E-05,0.6574222,,,,,,,,,,,,,"9,36"
31273263,1,2020-07-27 20:20:35.595865,2021-09-16 17:36:17.853771,Light Curve File (LCF),88.1036912820023,-68.159554274943,5.41806,26.235,10.7858,1337.9157660785100,0.0535013807320865,22.572958347123700,0.0010021914050462,0.08099042,0.0120032882829225,0.1397832039125400,1.002390680844350,,,,0.0193043463280864,0.2202681857598680,1.90540840793589E-05,,,,"1,2,3,4,5,6,8,9,11,12,13,28,29,31,32,33,34,35,36,38,39"
279955276,1,2020-07-27 20:20:35.821409,2021-09-16 17:36:17.895853,Light Curve File (LCF),82.1350900912673,-68.6037596623945,2.06216,13.6195,10.5877,1326.27520814051,4.92470946937829E-05,0.5768496837023030,2.22249930792451E-07,0.6360004,0.1011174509723850,0.0588655150959347,0.9999086149356860,,,,0.1959569153382520,0.0993073938700552,0.9997716775741840,0.1091264425577720,0.0319145342191882,0.5000084784222050,"1,2,3,4,5,6,7,9,10,12,13"
144167463,1,2020-07-27 20:20:36.107545,2021-09-16 17:36:17.962779,Light Curve File (LCF),176.974419754529,-9.06379037194552,-6.53859,-0.126272,9.6606,1544.874663153100,0.2122161409358800,2.146637774798230,0.0001223268455841,0.8988069,0.2270655038204850,0.0073149818646264,0.989709829016996,0.240764563527124,0.0048440817466159,0.480507614736928,,,,,,,9
